,PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,ELHTBTU8 ,ELCLBTU8 ,ELVNBTU8 ,ELWTBTU8 ,ELLTBTU8 ,ELCKBTU8 ,ELRFBTU8 ,ELOFBTU8 ,ELPCBTU8 ,ELMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
4653,5536,1,1,76000,6,8,2,1,1,1,2.0,2,2,221.72,53,2,304175.0,274622.0,863726.0,50015.0,6347715.0,0.0,519581.0,188810.0,317307.0,570768.0
4654,5537,3,7,150000,7,8,14,1,1,2,2.0,2,2,392.68,49,1,0.0,1436963.0,461572.0,72871.0,589073.0,0.0,18117.0,1135.0,5590.0,85030.0
4655,5538,1,1,12250,4,6,23,1,1,2,,2,2,2739.65,2,2,0.0,49424.0,85062.0,71204.0,415645.0,0.0,0.0,11265.0,16040.0,116504.0
4656,5539,1,2,8100,3,6,12,1,1,2,2.0,2,2,365.45,7,1,0.0,11379.0,2795.0,0.0,17486.0,0.0,13988.0,504.0,305.0,52490.0
4657,5540,2,3,20000,4,3,23,1,1,2,,2,2,220.48,64,1,0.0,222398.0,282844.0,0.0,1382079.0,0.0,0.0,37458.0,53337.0,392860.0
4658,5541,3,5,28000,5,6,23,1,2,2,,2,2,815.61,28,1,42348.0,571131.0,224802.0,0.0,696839.0,0.0,113498.0,18886.0,26892.0,241303.0
4659,5542,3,5,9600,3,6,14,1,1,2,2.0,2,2,734.43,25,2,0.0,0.0,0.0,7631.0,56034.0,0.0,0.0,0.0,1063.0,10746.0
4660,5543,2,4,1600,2,1,13,1,2,2,2.0,2,2,780.38,18,2,0.0,0.0,,0.0,5768.0,0.0,0.0,0.0,0.0,9951.0
4661,5544,3,7,180000,7,8,12,1,1,1,2.0,2,2,70.71,57,1,601573.0,2545547.0,2306740.0,0.0,8913101.0,177402.0,435196.0,97988.0,472183.0,2350727.0
4662,5545,4,9,5600,3,1,25,1,1,2,2.0,2,2,950.84,42,2,1223.0,1146.0,0.0,0.0,39368.0,0.0,11068.0,335.0,0.0,13976.0
4663,5547,2,4,2800,2,2,1,2,2,2,2.0,2,2,1536.49,20,1,,,,,,,,,,
4664,5548,1,2,1250,2,6,5,1,2,2,2.0,2,2,4023.87,9,1,0.0,0.0,,0.0,19652.0,0.0,0.0,0.0,0.0,15939.0
4665,5549,3,5,61000,6,7,14,1,1,2,2.0,2,2,734.43,25,2,84072.0,1283730.0,371192.0,0.0,1045788.0,0.0,33338.0,31235.0,0.0,127264.0
4666,5551,3,6,1400,2,2,12,1,2,2,2.0,2,2,2314.83,30,2,5189.0,9311.0,317.0,0.0,3158.0,0.0,0.0,255.0,200.0,12973.0
4667,5552,4,8,22000,4,7,17,1,1,2,2.0,2,2,40.03,37,1,62955.0,11102.0,495237.0,0.0,1026568.0,0.0,50417.0,27377.0,27907.0,267637.0
4668,5553,4,9,800000,9,5,2,1,1,2,2.0,2,2,57.56,42,2,132603.0,2048584.0,3221463.0,0.0,15520239.0,0.0,408614.0,1371299.0,4840557.0,4339280.0
4669,5554,1,2,210000,8,3,1,1,2,2,2.0,2,2,171.88,4,2,0.0,0.0,,0.0,269770.0,0.0,0.0,0.0,0.0,174316.0
4670,5555,3,5,90000,6,7,14,1,1,2,2.0,2,2,331.3,25,1,167730.0,1263499.0,940441.0,75964.0,795187.0,22996.0,60110.0,16896.0,186237.0,135421.0
4671,5556,3,5,235000,8,6,14,1,2,1,2.0,1,2,41.2,23,2,0.0,2016084.0,3162972.0,329065.0,6972703.0,0.0,267704.0,43401.0,381783.0,1175529.0
4672,5557,3,7,35000,5,5,2,1,2,2,2.0,2,2,190.78,49,1,107080.0,1148386.0,107166.0,26982.0,881996.0,0.0,29483.0,197583.0,482186.0,163756.0
4673,5558,3,7,19000,4,5,14,1,2,2,2.0,2,2,460.92,36,2,40624.0,250087.0,85126.0,36490.0,179800.0,0.0,10395.0,0.0,10580.0,24720.0
4674,5559,1,2,9600,3,6,25,1,1,2,2.0,2,2,2739.65,4,2,13050.0,16524.0,5758.0,0.0,77832.0,0.0,21453.0,5009.0,5643.0,46440.0
